start,end,volume,start-alveolar,end-alveolar,volume-alveolar,start-dead-space,end-dead-space,volume-dead-space
8.94,13.76,1.153735427530202,9.49,14.29,0.7267876578773813,8.94,13.76,0.4269477696528208
13.76,18.27,1.0245032133935454,14.29,18.92,0.6635060401361577,13.76,18.27,0.3609971732573878
18.27,23.64,1.0750281037965959,18.92,24.23,0.6870290316965323,18.27,23.64,0.3879990721000637
23.64,29.21,1.0551059362295647,24.23,29.84,0.7061063877140579,23.64,29.21,0.3489995485155068
29.21,34.45,0.9691989484002657,29.84,35.11,0.6321993801062449,29.21,34.45,0.33699956829402083
34.45,39.61,0.8819076953949438,35.11,40.29,0.5679082054055556,34.45,39.61,0.31399948998938815
39.61,45.06,0.9651344783824886,40.29,45.74,0.63313496750012,39.61,45.06,0.33199951088236856
45.06,50.31,0.8379152210166512,45.74,50.94,0.5409160976201454,45.06,50.31,0.2969991233965058
50.31,55.33,0.9525442904863872,50.94,55.99,0.6195451129899768,50.31,55.33,0.3329991774964104
55.33,60.3,0.8647117179391021,55.99,60.98,0.5167137035342428,55.33,60.3,0.3479980144048592
60.3,65.22,0.8015351904114916,60.98,65.88,0.4745362277016411,60.3,65.22,0.32699896270985046
65.22,70.48,0.9863478230001721,65.88,71.09,0.6362130316414606,65.22,70.48,0.3501347913587115
70.48,75.67,0.8657967127398043,71.09,76.25,0.5188016796735437,70.48,75.67,0.3469950330662605
75.67,80.71,0.8941977069411859,76.25,81.44,0.5531982257852155,75.67,80.71,0.3409994811559704
80.71,86.34,0.8570832745105808,81.44,86.9,0.5440838656612225,80.71,86.34,0.31299940884935823
86.34,91.76,1.0011405405854523,86.9,92.37,0.6631409477341497,86.34,91.76,0.3379995928513026
91.76,96.97,0.8580830383961908,92.37,97.59,0.5060835650327001,91.76,96.97,0.35199947336349063
96.97,102.24,0.9060547291807939,97.59,102.99,0.5410553001332746,96.97,102.24,0.36499942904751925
102.24,107.87,0.8711374116636539,102.99,108.44,0.5261380702780186,102.24,107.87,0.34499934138563526
107.87,113.74,0.8881750547983925,108.44,114.5,0.5291754436900556,107.87,113.74,0.3589996111083369
113.74,119.25,0.6748218744296951,114.5,119.82,0.4088225360289564,113.74,119.25,0.2659993384007387
119.25,124.33,1.010731192368326,119.82,124.96,0.6057315837603539,119.25,124.33,0.40499960860797224
124.33,129.62,0.8007394762172093,124.96,130.48,0.49481846637111704,124.33,129.62,0.30592100984609233
129.62,134.75,0.7763748405512612,130.48,135.43,0.3535004509640978,129.62,134.75,0.4228743895871633
134.75,139.44,0.722401813362494,135.43,140.12,0.4114025079881202,134.75,139.44,0.31099930537437376
139.44,144.94,0.7406184895254673,140.12,145.53,0.43261954494099186,139.44,144.94,0.30799894458447546
144.94,150.16,0.9244044858093112,145.53,150.89,0.5814048738815037,144.94,150.16,0.3429996119278075
150.16,155.47,0.7032389230131231,150.89,156.15,0.40123948954407207,150.16,155.47,0.30199943346905106
155.47,160.64,0.7458603669642923,156.15,161.3,0.4188608197768126,155.47,160.64,0.3269995471874796
160.64,165.5,0.7559289906428188,161.3,166.16,0.42292958775837797,160.64,165.5,0.3329994028844408
165.5,170.57,1.0415683616270919,166.16,176.65,0.7295689840433791,165.5,170.57,0.3119993775837127
175.83,181.08,0.617013033191695,176.65,181.89,0.3260135787325553,175.83,181.08,0.2909994544591397
181.08,186.33,0.6568572141328327,181.89,187.08,0.37285759553519643,181.08,186.33,0.2839996185976363
186.33,191.9,0.81903977481364,187.08,192.5,0.48104046989568894,186.33,191.9,0.3379993049179511
191.9,197.25,0.9044086728049531,192.5,198.06,0.5164094540424099,191.9,197.25,0.3879992187625432
197.25,202.3,0.8082096464636296,198.06,203.07,0.4722109850830891,197.25,202.3,0.33599866138054046
202.3,207.46,0.7872422838359671,203.07,208.2,0.4342430912037383,202.3,207.46,0.3529991926322288
207.46,212.42,0.7314008637665663,208.2,213.14,0.42140163525688507,207.46,212.42,0.30999922850968126
212.42,217.23,0.8001470041882074,213.14,218.2,0.42114777618247673,212.42,217.23,0.37899922800573066
217.23,223.3,0.5782555933277085,218.2,223.91,0.2502564449544226,217.23,223.3,0.32799914837328586
223.3,228.99,0.9174040787254767,223.91,229.78,0.5794044787582053,223.3,228.99,0.3379995999672714
228.99,235.0,0.6789551048771518,229.78,235.62,0.34695555121772215,228.99,235.0,0.3319995536594297
235.0,240.36,0.8019356071775582,235.62,240.96,0.4369360452436646,235.0,240.36,0.3649995619338936
240.36,245.47,0.7936103223286711,240.96,246.15,0.40861079349621393,240.36,245.47,0.3849995288324572
245.47,251.42,0.8247188938949476,246.15,252.13,0.4647193208525298,245.47,251.42,0.35999957304241775
251.42,257.18,1.0579293521101572,252.13,257.91,0.6559522946602845,251.42,257.18,0.4019770574498726
257.18,262.41,0.8304742071809803,257.91,263.08,0.4684752153297353,257.18,262.41,0.361998991851245
262.41,268.34,0.7370585956350251,263.08,269.16,0.41605899106664335,262.41,268.34,0.3209996045683818
268.34,274.61,1.2271337877996797,269.16,275.31,0.7831341751585423,268.34,274.61,0.44399961264113735
274.61,281.52,1.4433168876280935,275.31,282.29,1.0563173057225328,274.61,281.52,0.3869995819055608
281.52,287.47,0.7025221010288198,282.29,288.12,0.3755224938720061,281.52,287.47,0.3269996071568137
287.47,292.86,0.6872300791101672,288.12,293.49,0.3422304747373912,287.47,292.86,0.344999604372776
292.86,298.09,0.7913109050223466,293.49,298.69,0.4063113042411671,292.86,298.09,0.3849996007811794
298.09,303.24,0.8118165493255751,298.69,303.82,0.40781941732736854,298.09,303.24,0.4039971319982066
303.24,308.51,0.7910993053464515,303.82,309.11,0.4050997896029769,303.24,308.51,0.3859995157434745
308.51,313.82,0.7553486040737423,309.11,314.46,0.3805906741756418,308.51,313.82,0.37475792989810053
313.82,319.3,0.8920235876472196,314.46,319.94,0.5130298122430152,313.82,319.3,0.37899377540420426
319.3,324.45,0.6891612181217783,319.94,325.06,0.3381661742832698,319.3,324.45,0.35099504383850855
324.45,329.96,0.8675663836221011,325.06,330.63,0.46656678122767836,324.45,329.96,0.4009996023944228
329.96,335.34,0.7601223343093337,330.63,335.91,0.37012273511802873,329.96,335.34,0.389999599191305
335.34,340.49,0.8125332491089645,335.91,341.08,0.419533680972609,335.34,340.49,0.39299956813635545
340.49,345.37,0.719943973687269,341.08,346.0,0.35294711304568743,340.49,345.37,0.36699686064158166
345.37,351.3,0.9397897114534721,346.0,351.91,0.5277901213125078,345.37,351.3,0.4119995901409643
351.3,356.94,0.8022144278793034,351.91,357.52,0.443214826379504,351.3,356.94,0.3589996014997994
356.94,362.48,0.9372641424283383,357.52,363.05,0.5362645516438985,356.94,362.48,0.4009995907844398
362.48,368.01,0.8952922535408476,363.05,368.66,0.4832926623158507,362.48,368.01,0.4119995912249969
368.01,373.64,0.7031555339729393,368.66,374.23,0.35210880854245213,368.01,373.64,0.35104672543048715
373.64,379.88,0.8765445937916205,374.23,380.46,0.45654984503351864,373.64,379.88,0.41999474875810194
379.88,385.82,0.783650007188281,380.46,386.41,0.38565043427939566,379.88,385.82,0.39799957290888544
385.82,391.51,0.7823987389778868,386.41,392.26,0.3863991338138588,385.82,391.51,0.39599960516402805
391.51,397.52,0.6807415684397625,392.26,398.07,0.316741971098127,391.51,397.52,0.3639995973416355
397.52,403.57,1.0596953902530277,398.07,404.18,0.5236957843462222,397.52,403.57,0.5359996059068055
403.57,409.78,0.7812641327819267,404.18,410.33,0.3762645275804512,403.57,409.78,0.4049996052014755
409.78,414.89,0.7302485339850819,410.33,415.52,0.3352519162276779,409.78,414.89,0.3949966177574041
414.89,420.39,0.6013301493736691,415.52,421.0,0.24133132434530438,414.89,420.39,0.3599988250283647
420.39,426.74,0.6484736158400293,421.0,427.32,0.2874740144859511,420.39,426.74,0.3609996013540781
426.74,433.02,1.2663883633012016,427.32,433.65,0.8643887614492936,426.74,433.02,0.40199960185190803
433.02,438.39,0.915631018065006,433.65,439.03,0.5327471997569575,433.02,438.39,0.38288381830804846
438.39,443.05,0.8065932412575723,439.03,443.64,0.3835984429745005,438.39,443.05,0.42299479828307174
443.05,448.41,0.9132642578059252,443.64,448.99,0.456264681066245,443.05,448.41,0.4569995767396802
448.41,454.14,0.9143378557078062,448.99,454.72,0.43733824078150024,448.41,454.14,0.476999614926306
454.14,459.81,0.9283345464373873,454.72,460.41,0.4553349436765116,454.14,459.81,0.47299960276087566
459.81,465.29,0.8813918276554541,460.41,465.85,0.42339222376340846,459.81,465.29,0.45799960389204564
465.29,470.6,0.8645702041258887,465.85,471.13,0.38957210250286445,465.29,470.6,0.4749981016230243
470.6,476.51,1.446729316939284,471.13,477.14,0.8487301477018986,470.6,476.51,0.5979991692373856
476.51,482.06,1.067137508197838,477.14,482.67,0.5781380281286796,476.51,482.06,0.48899948006915844
482.06,487.92,0.8039992228494257,482.67,488.49,0.3729996118491291,482.06,487.92,0.43099961100029655
487.92,494.27,0.8663141526196376,488.49,494.9,0.4072645388286223,487.92,494.27,0.4590496137910154
494.27,499.52,0.713344382321704,494.9,500.02,0.28234508299047634,494.27,499.52,0.4309992993312277
499.52,505.67,1.5750926101159948,500.02,506.21,0.9410930613321477,499.52,505.67,0.633999548783847
505.67,511.87,1.209239350703607,506.21,512.41,0.714239734528734,505.67,511.87,0.4949996161748729
511.87,518.03,1.1348565818965755,512.41,518.61,0.6458569777203996,511.87,518.03,0.48899960417617594
518.03,524.61,0.9417548647580065,518.61,525.15,0.49275527048099454,518.03,524.61,0.44899959427701197
524.61,530.68,0.9779060717875722,525.15,531.28,0.5339064643666503,524.61,530.68,0.4439996074209218
530.68,537.01,1.1499252245825748,531.28,537.57,0.693925618016671,530.68,537.01,0.45599960656590394
537.01,542.86,0.8639204464227377,537.57,543.5,0.42292084232836147,537.01,542.86,0.4409996040943762
542.86,548.46,0.8065372362393921,543.5,549.09,0.3715376261982036,542.86,548.46,0.4349996100411886
548.46,554.71,1.0714897059150095,549.09,555.26,0.6124901061812765,548.46,554.71,0.45899959973373294
554.71,560.56,1.0093468735779514,555.26,561.2,0.509347683921132,554.71,560.56,0.4999991896568194
560.56,566.54,1.1603971099231956,561.2,567.07,0.6453975185854067,560.56,566.54,0.5149995913377887
566.54,571.85,0.994732404635917,567.07,572.36,0.5267327996012117,566.54,571.85,0.4679996050347052
571.85,577.63,1.0134801135699831,572.36,578.12,0.5534805505066216,571.85,577.63,0.45999956306336165
577.63,583.61,1.0286537550752777,578.12,584.14,0.5386541661640516,577.63,583.61,0.4899995889112262
583.61,589.34,1.0588637396820109,584.14,589.97,0.6048641252600241,583.61,589.34,0.45399961442198683
589.34,595.84,1.242833051248084,589.97,596.34,0.7838334489579251,589.34,595.84,0.4589996022901589
